ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
061b8a1e-55b4-4f3b-9be1-5019da1526a1,1988-01-14,,999-11-1111,S99911111,,Mr.,Victor,Burns,"single",white,english,M,Boston MA US,12 Main St Boston MA 02101 US
0e05f3b0-5906-434d-baf1-9d3d96c50c2e,1992-03-08,,999-22-2222,S99922222,,Mrs.,Anna,Williams,"married",white,italian,F,Cambridge MA US,34 Elm Ave Cambridge MA 02139 US
15b0df30-610f-419a-9b8e-2abd8793b511,1975-07-21,,999-33-3333,S99933333,,Dr.,Samuel,Jordan,"married",black,african,M,Somerville MA US,56 Oak Rd Somerville MA 02145 US
2176ea95-7c7c-498e-8c4e-4e214bce4e68,2001-10-02,,999-44-4444,S99944444,,Ms.,Emily,Nguyen,"single",asian,vietnamese,F,Quincy MA US,78 Pine Ln Quincy MA 02169 US
2fc0a465-0e4d-4e66-8706-96bca6d75d5f,1980-05-30,,999-55-5555,S99955555,,Mr.,Kevin,Smith,"single",white,irish,M,Worcester MA US,90 Maple St Worcester MA 01608 US
3e76a21e-2631-4f51-946a-262fcfe983df,1969-12-12,,999-66-6666,S99966666,,Mrs.,Laura,Garcia,"married",white,spanish,F,Lowell MA US,101 Birch Rd Lowell MA 01852 US
49b1c88c-1bb9-4fa5-b75c-13c957b5db52,1999-04-18,,999-77-7777,S99977777,,Mr.,Michael,Lee,"single",asian,korean,M,Acton MA US,123 Cedar St Acton MA 01720 US
5afa468f-37e5-4642-9a2a-624aa7cec7b0,1983-08-03,,999-88-8888,S99988888,,Ms.,Olivia,King,"divorced",black,west_indian,F,Brookline MA US,145 Spruce Dr Brookline MA 02445 US
6d1ab4a3-0157-4bc5-ba8c-2c7af8a694ac,1977-06-11,,999-99-9999,S99999999,,Mr.,David,Chen,"married",asian,chinese,M,Salem MA US,167 Harbor Rd Salem MA 01970 US
7afbbe95-2731-4e9f-9c8d-4d2de329c0ea,1995-09-25,,999-00-0000,S99900000,,Mrs.,Grace,Hall,"single",white,french,F,Medford MA US,189 Walnut St Medford MA 02155 US
