ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
8c5db839-f91c-4e5b-a2e2-1a491f54b5de,1986-11-03,,999-10-1010,S99910101,,Mr.,Ethan,Brooks,"married",white,german,M,Springfield MA US,200 Chestnut St Springfield MA 01103 US
9a21d5d4-bad3-4d9a-bf03-c42c7f3b95e3,1990-02-17,,999-20-2020,S99920202,,Ms.,Sophia,Martinez,"single",hispanic,mexican,F,Lawrence MA US,221 River Rd Lawrence MA 01840 US
a7f021f5-1f58-4a4b-bb42-d771ee713741,1972-08-29,,999-30-3030,S99930303,,Dr.,Henry,Patel,"widowed",asian,indian,M,Framingham MA US,243 Forest St Framingham MA 01701 US
b69d47ee-5e94-496e-82de-e783e40de230,2003-04-11,,999-40-4040,S99940404,,Mr.,Logan,White,"single",white,polish,M,Marlborough MA US,265 Beacon St Marlborough MA 01752 US
c8f0abf6-d60d-4eb3-82cd-df4fd4bb41a9,1981-01-20,,999-50-5050,S99950505,,Mrs.,Natalie,Hughes,"married",black,haitian,F,New Bedford MA US,287 Shore Rd New Bedford MA 02744 US
d7bc8731-79e2-4e63-bc70-5f3c0080fa56,1965-06-14,,999-60-6060,S99960606,,Mr.,Brian,Kelly,"divorced",white,irish,M,Fitchburg MA US,309 Willow Ave Fitchburg MA 01420 US
e3db1a41-d178-41ae-a9a3-d038374f775b,1997-12-01,,999-70-7070,S99970707,,Ms.,Isabella,Rivera,"single",hispanic,puerto_rican,F,Haverhill MA US,331 Glen St Haverhill MA 01830 US
f248de6b-7a11-4dc0-8ff8-e35b86de7853,1979-09-06,,999-80-8080,S99980808,,Dr.,Jason,Wright,"married",black,nigerian,M,Peabody MA US,353 Brookline Ave Peabody MA 01960 US
04ab9b17-0f58-4a4b-8140-56110f0f7d18,1985-03-22,,999-90-9090,S99990909,,Mrs.,Chloe,Ng,"single",asian,thai,F,Plymouth MA US,375 Meadow Ln Plymouth MA 02360 US
15f96ea0-7f2a-4ef5-bf42-77b92f26d816,1993-07-19,,999-01-0101,S99901010,,Mr.,Noah,Baker,"single",white,russian,M,Revere MA US,397 Sunset Blvd Revere MA 02151 US
af836fe4-f037-4a4e-9454-e40862bcb134,1982-03-04,,999-11-1111,S99911111,,Mr.,Daniel,Reed,"married",white,german,M,Amherst MA US,401 Main St Amherst MA 01002 US
b44cf3d7-63cc-4c4e-96d4-49dcf69e6f73,1995-10-12,,999-22-2222,S99922222,,Ms.,Olivia,Murphy,"single",hispanic,colombian,F,Cambridge MA US,423 Pearl St Cambridge MA 02139 US
c2a87387-8503-49ff-93a0-fae60c27362a,1977-06-25,,999-33-3333,S99933333,,Dr.,Rajiv,Kapoor,"married",asian,indian,M,Lexington MA US,445 Charles St Lexington MA 02421 US
d67d0ae6-3059-437b-b52e-58dbfefb229b,2000-01-01,,999-44-4444,S99944444,,Mr.,Aiden,Bennett,"single",white,polish,M,Lowell MA US,467 Orchard St Lowell MA 01850 US
e91072b3-0807-4bd5-88e3-27916a5fc6a6,1989-05-16,,999-55-5555,S99955555,,Mrs.,Jasmine,Ward,"married",black,jamaican,F,Quincy MA US,489 Maple Ave Quincy MA 02169 US
fa7861ce-6f92-4422-a5cc-b0ebc6fd1b30,1970-09-09,,999-66-6666,S99966666,,Mr.,Michael,Cook,"divorced",white,english,M,Salem MA US,511 Lincoln Rd Salem MA 01970 US
0b541a52-c9a2-4717-93e0-214498d12de4,1992-11-08,,999-77-7777,S99977777,,Ms.,Emily,Hernandez,"single",hispanic,cuban,F,Brockton MA US,533 Cedar St Brockton MA 02301 US
1a7a9c4b-3dd2-4db6-8aa0-7fbc05881f65,1980-02-19,,999-88-8888,S99988888,,Dr.,Leon,Green,"married",black,nigerian,M,Worcester MA US,555 Walnut St Worcester MA 01604 US
26cf61f4-47ed-45f0-a989-390e0c4bb63d,1987-07-03,,999-99-9999,S99999999,,Mrs.,Grace,Chen,"widowed",asian,chinese,F,Newton MA US,577 Franklin St Newton MA 02458 US
374928fc-f107-4f2b-8882-305c2aeb44a3,1991-12-31,,999-00-0000,S99900000,,Mr.,Liam,Ross,"single",white,canadian,M,Beverly MA US,599 Spruce Ln Beverly MA 01915 US
a1909b6c-98d1-4ce4-89db-3270f50a1f52,1986-05-22,,999-10-1010,S99910101,,Mr.,Nathan,Silva,"single",white,portuguese,M,Framingham MA US,101 Beacon St Framingham MA 01701 US  
b25a8891-30d8-4f6a-92e0-750c34b304a2,1990-08-14,,999-20-2020,S99920202,,Mrs.,Isabella,Gonzalez,"married",hispanic,mexican,F,Lynn MA US,102 Harbor Way Lynn MA 01901 US  
c32bb9da-8a62-489a-8d7a-403da5f28935,1973-03-09,,999-30-3030,S99930303,,Dr.,Paul,Tanaka,"divorced",asian,japanese,M,Newton MA US,103 Oak St Newton MA 02465 US  
